Sample,Length_cm,Number_of_tips
S3CyaS1,5.572,2
S3CyaS2,3.645,5
S3CyaS3,6.392,6
S3PhiloS1,7.044,9
S3PhiloS2,9.687,13
S3PhiloS3,16.547,14
S3PlinS1,18.656,19
S3PlinS2,22.666,13
S3PlinS3,19.601,6
S3EntoS1,27.003,14
S3EntoS2,14.595,16
S3EntoS3,13.351,15
S3EricS1,5.114,11
S3EricS2,7.935,7
S3EricS3,5.679,2
S3GonoS1,26.867,11
S3GonoS2,15.625,9
S3GonoS3,14.794,7
S3LeptoS1,7.76,6
S3LeptoS2,10.138,11
S3LeptoS3,10.508,8
S3LepyS1,11.215,15
S3LepyS2,6.155,8
S3LepyS3,15.183,16
S3NeeS1,15.496,11
S3NeeS2,7.943,11
S3NeeS3,4.34,9
S3TanaxS1,13.84,22
S3TanaxS2,7.478,17
S3TanaxS3,6.345,8
S3TetraS1,22.273,14
S3TetraS2,19.981,12
S3TetraS3,10.444,6
S6CyaS1,6.797,8
S6CyaS2,11.124,10
S6CyaS3,9.908,12
S6TanaxS1,14.312,10
S6TanaxS2,7.233,14
S6TanaxS3,4.677,6
S6OblS1,10.569,13
S6OblS2,4.912,4
S6OblS3,4.876,4
S6PtiS1,8.88,9
S6PtiS2,6.041,12
S6PtiS3,5.14,0
S6Plin1,19.899,20
S6Plin2,7.457,8
S6PlinS3,17.829,11
S6Nee1,5.915,4
S6Nee2,13.464,14
S6Nee3,6.249,6
S6LepyS1,4.085,11
S6LepyS2,7.67,8
S6LepyS3,4.811,7
S6GonoS1,1.902,3
S6GonoS2,14.829,16
S6GonoS3,8.848,12
S6EricS1,5.414,5
S6EricS2,22.412,3
S6EricS3,5.075,4
S6EntoS1,11.392,14
S6EntoS2,15.985,33
S6EntoS3,11.388,25
S6EmpS1,5.056,8
S6EmpS2,5.785,5
S6EmpS3,,
