site,Tray Weight,Wet Weight,Dry Weight,Soil Moisture Content,Crucible weight,Pre-Ashed Soil Weight,Pre-ashed Soil + Crucible,Post-ashed soil + Crucible,Post-ashed soil weight,OM,REP,site_class
S1,1.8709,48.0457,40.6566,19.05109357,14.2153,10.0355,24.2508,23.7557,9.5404,5.189509874,1,BI
S1,1.8617,52.8297,44.3178,20.04870914,20.0703,10.0163,30.0866,29.5414,9.4711,5.756459123,2,BI
S1,1.8493,57.904,49.0985,18.63629437,13.2225,10.0826,23.3051,22.7457,9.5232,5.874075941,3,BI
S1,1.8325,67.4527,57.1228,18.68302397,13.3455,10.0206,23.3661,22.8785,9.533,5.114864156,4,BI
S1,1.8381,71.3006,59.4537,20.56196586,21.12,10.04,31.16,30.6878,9.5678,4.935303832,5,BI
S2,1.8659,72.1037,54.7705,32.76312457,14.7803,10.0648,24.8451,24.4454,9.6651,4.135497822,1,UI
S2,1.8534,64.7538,54.7979,18.80440839,21.1817,10.01,31.1917,30.8369,9.6552,3.674703787,2,UI
S2,1.8895,75.2354,51.2307,48.65041791,19.5218,10.0844,29.6062,29.1013,9.5795,5.270629991,3,UI
S2,1.864,40.0727,31.5095,28.8853283,15.4245,10.079,25.5035,24.7967,9.3722,7.54145238,4,UI
S2,1.8484,95.0087,75.2472,26.92346469,18.0855,10.0296,28.1151,27.766,9.6805,3.606218687,5,UI
S3,1.8516,81.9586,61.3052,34.73868698,13.6479,10.0272,23.6751,23.2713,9.6234,4.196022196,1,BI
S3,1.8404,131.5162,92.8157,42.53956843,16.6624,10.0028,26.6652,26.0557,9.3933,6.488667454,2,BI
S3,1.8644,77.4157,58.4574,33.49937271,18.8534,10.0975,28.9509,28.5502,9.6968,4.132291065,3,BI
S3,2.3787,60.9014,44.6868,38.32504887,15.1367,10.0774,25.2141,24.6262,9.4895,6.195268455,4,BI
S3,1.8265,141.1019,102.6062,38.1978712,14.3675,10.0888,24.4563,23.9709,9.6034,5.054459879,5,BI
S4,1.8264,73.0577,56.9256,29.27828353,20.7948,10.0942,30.889,30.5508,9.756,3.466584666,1,UI
S4,2.4181,60.3535,43.6085,40.65267635,18.5507,10.0523,28.603,28.1199,9.5692,5.048488902,2,UI
S4,1.8667,79.1487,62.2671,27.94948378,15.1587,10.0824,25.2411,24.9337,9.775,3.144757033,3,UI
S4,1.8444,52.7919,41.0848,29.83430342,15.6032,10.0185,25.6217,25.2924,9.6892,3.398629402,4,UI
S4,1.8554,64.6041,51.0674,27.50690888,13.597,10.0329,23.6299,23.331,9.734,3.07068009,5,UI
S5,1.8462,75.2008,55.7011,36.20784738,12.8597,10.0717,22.9314,22.6105,9.7508,3.29101202,1,BI
S5,1.864,65.64,45.4604,46.28730813,35.9861,10.0924,46.0785,45.5507,9.5646,5.51826527,2,BI
S5,1.8715,103.1095,72.3646,43.61405584,18.5237,10.013,28.5367,27.9877,9.464,5.800929839,3,BI
S5,1.8251,92.139,68.8042,34.83892737,15.4128,10.0793,25.4921,25.225,9.8122,2.722121441,4,BI
S5,1.8422,48.2124,34.0985,43.75548342,19.5773,10.091,29.6683,29.0055,9.4282,7.029973908,5,BI
S6,1.8751,102.1862,70.6899,45.76966001,14.0189,10.0731,24.092,23.4177,9.3988,7.174320126,1,BW
S6,1.8405,95.5068,75.782,26.67622377,36.9621,9.9996,46.9617,46.4166,9.4545,5.765508488,2,BW
S6,1.8514,51.2536,40.8055,26.82156692,16.3771,10.0607,26.4378,25.788,9.4109,6.904759375,3,BW
S6,1.8503,68.9984,52.2558,33.2158197,18.756,10.0484,28.8044,28.3232,9.5672,5.029684756,4,BW
S6,1.8842,60.1942,47.6001,27.54862094,17.7924,10.0942,27.8866,27.416,9.6236,4.890061931,5,BW
S7,1.88868,80.9555,53.7251,52.53140553,25.8793,9.9983,35.8776,35.5763,9.697,3.10714654,1,BW
S7,1.8497,74.1181,59.754,24.80662058,15.1083,10.0265,25.1348,24.949,9.8407,1.888077068,2,BW
S7,1.8613,137.2038,107.1318,28.56640749,19.1287,10.0392,29.1679,29.032,9.9033,1.372269849,3,BW
S7,1.8653,86.7365,54.2021,62.16352547,16.2062,10.0354,26.2416,25.7531,9.5469,5.116844211,4,BW
S7,1.8481,96.7702,69.6176,40.06610643,14.0291,10.0832,24.1123,23.5993,9.5702,5.360389543,5,BW
S8,1.8322,61.1659,57.0678,7.419309286,14.3063,10.0742,24.3805,24.0121,9.7058,3.795668569,1,BD
S8,1.8446,58.8025,55.9943,5.185993644,13.35,10.0206,23.3706,23.1304,9.7804,2.455932273,2,BD
