site,sample,site_class,species,species_code,replicate,fresh_mass_of_roots,Mass_of_pycnometer_filled_with_water,temperature_of_water_reading_1,density_1,fresh_weight_pycnometer_with_roots_and_water_before_vaccuum,temp_of_water_reading_2,density_2,fresh_weight_pycnometer_after_vacuum,root_volume,air_root_volume,air_porosity
S10,S1,UW,Banksia ericifolia,eric,1,0.1069,92.6723,23.2,0.998,92.6736,,,,0.105811623,,
S10,S1,UW,Empodisma minus,emp,1,0.4681,92.6786,23.2,0.998,92.6575,24.6,0.998,92.6732,0.490180361,0.015731463,3.209321341
S10,S2,UW,Empodisma minus,emp,2,0.1095,92.674,23.2,0.998,92.6608,24.6,0.998,92.6636,0.122945892,0.002805611,2.28198859
S10,S3,UW,Empodisma minus,emp,3,0.8999,92.659,23.2,0.998,92.5647,24.6,0.998,92.6404,0.996192385,0.075851703,7.61416214
S10,S1,UW,Entolasia stricta,ento,1,0.0408,92.6732,23.2,0.998,92.6664,24.6,0.998,,0.047695391,,
S10,S2,UW,Entolasia stricta,ento,2,0.8343,92.6606,23.2,0.998,92.6747,24.6,0.998,92.6756,0.821843687,0.000901804,0.109729334
S10,S3,UW,Entolasia stricta,ento,3,0.2948,92.6583,23.2,0.998,92.6479,24.6,0.998,92.657,0.305811623,0.009118236,2.981651376
S10,S1,UW,Gonocarpus micranthus,gono,1,0.1389,92.6629,23.2,0.998,92.6528,24.6,0.998,92.6603,0.149298597,0.00751503,5.033557047
S10,S2,UW,Gonocarpus micranthus,gono,2,0.1472,92.6785,23.2,0.998,92.6841,24.6,0.998,,0.141883768,,
S10,S3,UW,Gonocarpus micranthus,gono,3,0.0957,92.6704,23.2,0.998,92.6584,24.6,0.998,,0.107915832,,
S10,S1,UW,Lepidosperma neesii,nee,1,0.3031,92.6617,23.2,0.998,92.5808,24.6,0.998,92.6797,0.384769539,0.099098196,25.75520833
S10,S2,UW,Lepidosperma neesii,nee,2,0.3279,92.6634,23.2,0.998,92.6199,24.6,0.998,92.6754,0.372144289,0.055611222,14.94345719
S10,S3,UW,Lepidosperma neesii,nee,3,0.4221,92.6558,23.2,0.998,92.6086,24.6,0.998,92.6523,0.470240481,0.043787575,9.311740891
S10,S1,UW,Leptospermum squarrosum,lepto,1,0.2904,92.6672,23.2,0.998,92.6726,,,,0.285571142,,
S10,S2,UW,Leptospermum squarrosum,lepto,2,0.1352,92.6764,23.2,0.998,92.6735,24.6,0.998,,0.138376754,,
S10,S1,UW,Plinthanthesis paradoxa,plin,1,0.1614,92.6585,23.2,0.998,92.6526,24.6,0.998,92.6618,0.167635271,0.009218437,5.499103407
S10,S2,UW,Plinthanthesis paradoxa,plin,2,0.2066,92.6709,23.2,0.998,92.6848,24.6,0.998,,0.193086172,,
