Species_code,species
CAUSTUS,Caustis pentandra
CONCA,Lepidosperma concavum
CORY,Haemodorum corymbosum
CYA,Cyathochaeta diandra
EMP,Empodisma minus
ENTO,Entolasia stricta
ERIC,Banksia ericifolia
EURY,Eurychorda complanata
GONO,Gonocarpus micranthus
HYPO,Hypoleana fastigata
LEPTO,Leptospermum squarrosum
LEPY,Lepyrodia scariosa
LOMA,Lomandra obliqua
NEE,Lepidosperma neesii
OBL,Banksia oblongifolia
PLAN,Haemodorum planifolium
PLIN,Plinthanthesis paradoxa
PTI,Ptilothrix deusta
SERR,Banksia serrata
TATRA,Gonocarpus tetragynus
TENAX,Leptocarpus tenax
TETRA,Gonocarpus tetragynus
XYR,Xyris bracteata
