site,sample,site_class,species,species_code,replicate,TD,SRL
S10,S1,UW,Banksia ericifolia,eric,1,0.0391,0.007
S10,S1,UW,Empodisma minus,emp,1,0.0794,0.0006
S10,S2,UW,Empodisma minus,emp,2,0.0131,0.005
S10,S3,UW,Empodisma minus,emp,3,0.0961,0.009
S10,S1,UW,Entolasia stricta,ento,1,0.0067,0.0027
S10,S2,UW,Entolasia stricta,ento,2,0.1531,0.0022
S10,S3,UW,Entolasia stricta,ento,3,0.0581,0.006
S10,S1,UW,Gonocarpus micranthus,gono,1,0.0289,0.0039
S10,S2,UW,Gonocarpus micranthus,gono,2,0.0227,
S10,S3,UW,Gonocarpus micranthus,gono,3,0.0191,0.0021
S10,S1,UW,Lepidosperma neesii ,nee,1,0.1177,0.0022
S10,S2,UW,Lepidosperma neesii ,nee,2,0.0908,0.0046
S10,S3,UW,Lepidosperma neesii ,nee,3,0.1019,0.0041
S10,S1,UW,Leptospermum squarrosum,lepto,1,0.0599,0.0013
S10,S2,UW,Leptospermum squarrosum,lepto,2,0.0261,
S10,S1,UW,Plinthanthesis paradoxa,plin,1,0.0213,0.0029
S10,S2,UW,Plinthanthesis paradoxa,plin,2,0.0277,0.0014
S10,S3,UW,Plinthanthesis paradoxa,plin,3,0.1083,0.0026
S10,S1,UW,Ptilothrix deusta,pti,1,0.1941,0.0036
S10,S2,UW,Ptilothrix deusta,pti,2,0.1412,0.0093
S10,S3,UW,Ptilothrix deusta,pti,3,0.1839,0.0202
S14,S3,IB,Entolasia stricta,ento,3,0.0478,
S14,S1,IB,Gonocarpus micranthus,gono,1,0.0245,
S14,S2,IB,Gonocarpus micranthus,gono,2,0.0295,
S14,S3,IB,Gonocarpus micranthus,gono,3,0.0268,
S14,S2,IB,Gonocarpus tetragynus,tetra,2,0.0324,
S14,S2,IB,Lepyrodia scariosa,lepy,2,0.0264,
S14,S1,IB,Lomandra obliqua,loma,1,0.1674,
S14,S2,IB,Lomandra obliqua,loma,2,0.0426,
S14,S3,IB,Lomandra obliqua,loma,3,0.1721,
S15,S1,IU,Banksia ericifolia,eric,1,0.0477,0.0045
S15,S2,IU,Banksia ericifolia,eric,2,0.0127,0.0456
S15,S3,IU,Banksia ericifolia,eric,3,0.0243,0.0054
S15,S1,IU,Banksia oblongifolia,obl,1,0.613,0.0078
S15,S2,IU,Banksia oblongifolia,obl,2,0.1173,0.0053
S15,S1,IU,Cyathochaeta diandra,cya,1,0.0414,0.0017
S15,S2,IU,Cyathochaeta diandra,cya,2,0.0381,0.0049
S15,S3,IU,Cyathochaeta diandra,cya,3,0.149,0.0111
S15,S1,IU,Empodisma minus,emp,1,0.1787,
S15,S2,IU,Empodisma minus,emp,2,0.0381,0.0123
S15,S3,IU,Empodisma minus,emp,3,0.0379,0.0028
