site,sample,site_class,species,species_code,replicate,TD,SRL
S7,S1,BW,Leptospermum squarrosum,lepto,1,0.0336,0.0103
S7,S2,BW,Leptospermum squarrosum,lepto,2,0.0064,0.0014
S7,S3,BW,Leptospermum squarrosum,lepto,3,,0.0035
S7,S1,BW,Plinthanthesis paradoxa,plin,1,0.0167,0.0044
S7,S2,BW,Plinthanthesis paradoxa,plin,2,0.0104,0.0142
S7,S3,BW,Plinthanthesis paradoxa,plin,3,0.0168,0.0041
S7,S1,BW,Gonocarpus micranthus,gono,1,0.007,0.0028
S7,S2,BW,Gonocarpus micranthus,gono,2,0.0093,0.0048
S7,S3,BW,Gonocarpus micranthus,gono,3,0.0079,0.0054
S7,S1,BW,Banksia ericifolia,eric,1,0.025,0.0121
S7,S2,BW,Banksia ericifolia,eric,2,0.0331,0.008
S7,S3,BW,Banksia ericifolia,eric,3,0.0461,0.0177
S7,S1,BW,Lepyrodia scariosa,lepy,1,0.0084,0.0028
S7,S2,BW,Lepyrodia scariosa,lepy,2,0.0159,0.0007
S7,S3,BW,Lepyrodia scariosa,lepy,3,0.0183,0.0015
S7,S1,BW,Entolasia stricta,ento,1,0.0143,0.0319
S7,S2,BW,Entolasia stricta,ento,2,0.0341,0.0013
S7,S3,BW,Entolasia stricta,ento,3,0.0146,0.041
S8,S1,BD,Banksia serrata,serr,1,0.0337,0.0046
S8,S2,BD,Banksia serrata,serr,2,0.0135,0.0084
S8,S3,BD,Banksia serrata,serr,3,0.0211,0.0027
S8,S1,BD,Entolasia stricta,ento,1,0.0331,0.0145
S8,S2,BD,Entolasia stricta,ento,2,,
S8,S3,BD,Entolasia stricta,ento,3,,
S8,S1,BD,Plinthanthesis paradoxa,plin,1,0.0242,0.0084
S8,S2,BD,Plinthanthesis paradoxa,plin,2,0.012,0.0101
S8,S3,BD,Plinthanthesis paradoxa,plin,3,0.0129,0.0064
S8,S1,BD,Haemodorum planifolium,plan,1,0.0775,0.0318
S8,S2,BD,Haemodorum planifolium,plan,2,0.0346,0.008
S8,S3,BD,Haemodorum planifolium,plan,3,0.1506,0.0013
S6,S1,BW,Lepidosperma neesii,nee,1,0.0056,0.0065
S6,S2,BW,Lepidosperma neesii,nee,2,0.0497,0.0042
S6,S3,BW,Lepidosperma neesii,nee,3,0.068,0.0094
S6,S1,BW,Leptocarpus tenax,tenax,1,0.0208,0.0016
S6,S2,BW,Leptocarpus tenax,tenax,2,0.035,0.0064
S6,S3,BW,Leptocarpus tenax,tenax,3,0.0204,0.0006
S6,S1,BW,Lepyrodia scariosa,lepy,1,0.0123,0.0017
S6,S2,BW,Lepyrodia scariosa,lepy,2,,0.0055
S6,S3,BW,Lepyrodia scariosa,lepy,3,0.0975,0.0062
S6,S1,BW,Banksia oblongifolia,obl,1,0.0404,0.0068
