"","species_code","weight_specific_root_length","weight_tissue_density","species_fixed","File_Name","Raw_Skel","Skel_Corr","Kimura","Raw_RL","RLc","Kimura_length","Mean_Dia","Mean_Dia_C","Eq_Surf","Eq_Vol","Surf_Area"
"1","S7LeptoS1",0.0103,NA,"S7LEPTOS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","S7LeptoS2",0.0014,NA,"S7LEPTOS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","S7LeptoS3",0.0035,NA,"S7LEPTOS3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","S7PlinS1",0.0044,0.0167,"S7PLINS1","S7PLINS1_altered",3511,3515,4312.7467,148.6323,148.8017,182.5729,0.6753,0.7611,315.6844,53.2953,100.4855
"5","S7PlinS2",0.0142,0.0104,"S7PLINS2","S7PLINS2_altered",7274,7280,8916.4296,307.9327,308.1867,377.4622,0.3916,0.4145,379.1354,37.1163,120.6826
"6","S7PlinS3",0.0041,0.0168,"S7PLINS3","S7PLINS3_altered",7627,7631,9580.7469,322.8763,323.0457,405.585,0.3667,0.4246,372.1598,34.1181,118.4621
"7","S7TetraS1",0.0023,0.0174,"S7TETRAS1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","S7TetraS2",8e-04,0.0191,"S7TETRAS2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","S7TetraS3",6e-04,0.0096,"S7TETRAS3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","S7GonoS1",0.0028,0.007,"S7GONOS1","S7GONOS1_altered",12845,12849,15704.3314,543.7717,543.941,664.8167,0.2761,0.2652,471.8347,32.57,150.1897
"11","S7GonoS2",0.0048,0.0093,"S7GONOS2","S7GONOS2_altered",27293,27333,32987.8639,1155.4037,1157.097,1396.4862,0.2174,0.2819,790.306,42.9547,251.5622
"12","S7GonoS3",0.0054,0.0079,"S7GONOS3","S7GONOS3_altered",7777,7791,9961.5646,329.2263,329.819,421.7062,0.474,0.446,491.1516,58.203,156.3384
"13","S7EricS1",0.0121,NA,"S7ERICS1","S7ERICS1_altered",5070,5086,6394.6564,214.63,215.3073,270.7071,0.6304,0.6585,426.3887,67.1959,135.7237
"14","S7EricS2",0.008,NA,"S7ERICS2","S7ERICS2_altered",8468,8478,10466.3815,358.4787,358.902,443.0768,0.3725,0.4588,420.0323,39.1183,133.7004
"15","S7EricS3",0.0177,NA,"S7ERICS3","S7ERICS3_altered",6465,6477,8099.4884,273.685,274.193,342.8783,0.8,0.8875,689.1278,137.8267,219.3562
"16","S7LepyS1",0.0028,0.0084,"S7LEPYS1","S7LEPYS1_altered",8059,8081,9661.1798,341.1643,342.0957,408.9899,0.5401,0.6545,580.4447,78.3726,184.7613
